tahun,proporsi_rt_akses_layanan_dasar,prov
2021,69.31,ACEH
2021,68.22,SUMATERA UTARA
2021,82.09,SUMATERA BARAT
2021,74.93,RIAU
2021,73.41,JAMBI
2021,75.28,SUMATERA SELATAN
2021,78.83,BENGKULU
2021,80.69,LAMPUNG
2021,89.44,KEP. BANGKA BELITUNG
2021,83.77,KEP. RIAU
2021,79.52,DKI JAKARTA
2021,79.49,JAWA BARAT
2021,85.81,JAWA TENGAH
2021,87.54,DI YOGYAKARTA
2021,81.88,JAWA TIMUR
2021,80.27,BANTEN
2021,91.3,BALI
2021,75.1,NUSA TENGGARA BARAT
2021,56.33,NUSA TENGGARA TIMUR
2021,74.94,KALIMANTAN BARAT
2021,79.63,KALIMANTAN TENGAH
2021,87.16,KALIMANTAN SELATAN
2021,78.03,KALIMANTAN TIMUR
2021,87.73,KALIMANTAN UTARA
2021,84.58,SULAWESI UTARA
2021,82.23,SULAWESI TENGAH
2021,89.08,SULAWESI SELATAN
2021,85.69,SULAWESI TENGGARA
2021,86.87,GORONTALO
2021,76.25,SULAWESI BARAT
2021,79.84,MALUKU
2021,81.21,MALUKU UTARA
2021,73.71,PAPUA BARAT
2021,36.97,PAPUA
2021,79.59,INDONESIA
2020,67.98,ACEH
2020,67.3,SUMATERA UTARA
2020,82.69,SUMATERA BARAT
2020,73.05,RIAU
2020,73.12,JAMBI
2020,75.04,SUMATERA SELATAN
2020,79.12,BENGKULU
2020,78.06,LAMPUNG
2020,86.67,KEP. BANGKA BELITUNG
2020,80.35,KEP. RIAU
2020,76.83,DKI JAKARTA
2020,79.1,JAWA BARAT
2020,84.42,JAWA TENGAH
2020,84.64,DI YOGYAKARTA
2020,79.36,JAWA TIMUR
2020,78.36,BANTEN
2020,89.68,BALI
2020,74.26,NUSA TENGGARA BARAT
2020,54.43,NUSA TENGGARA TIMUR
2020,72.9,KALIMANTAN BARAT
2020,77.82,KALIMANTAN TENGAH
2020,86.7,KALIMANTAN SELATAN
2020,76.83,KALIMANTAN TIMUR
2020,87.02,KALIMANTAN UTARA
2020,83.71,SULAWESI UTARA
2020,81.93,SULAWESI TENGAH
2020,88.71,SULAWESI SELATAN
2020,85.97,SULAWESI TENGGARA
2020,85.4,GORONTALO
2020,79.52,SULAWESI BARAT
2020,79.13,MALUKU
2020,80.52,MALUKU UTARA
2020,73.53,PAPUA BARAT
2020,36.44,PAPUA
2020,78.3,INDONESIA
2019,64.0,ACEH
2019,71.43,SUMATERA UTARA
2019,78.8,SUMATERA BARAT
2019,72.11,RIAU
2019,71.47,JAMBI
2019,73.84,SUMATERA SELATAN
2019,77.81,BENGKULU
2019,74.73,LAMPUNG
2019,85.35,KEP. BANGKA BELITUNG
2019,74.49,KEP. RIAU
2019,73.18,DKI JAKARTA
2019,76.82,JAWA BARAT
2019,81.22,JAWA TENGAH
2019,80.89,DI YOGYAKARTA
2019,77.08,JAWA TIMUR
2019,74.19,BANTEN
2019,88.33,BALI
2019,71.47,NUSA TENGGARA BARAT
2019,51.92,NUSA TENGGARA TIMUR
2019,71.31,KALIMANTAN BARAT
2019,77.16,KALIMANTAN TENGAH
2019,85.39,KALIMANTAN SELATAN
2019,75.84,KALIMANTAN TIMUR
2019,83.4,KALIMANTAN UTARA
2019,83.12,SULAWESI UTARA
2019,81.38,SULAWESI TENGAH
2019,85.34,SULAWESI SELATAN
2019,82.97,SULAWESI TENGGARA
2019,79.71,GORONTALO
2019,80.77,SULAWESI BARAT
2019,75.6,MALUKU
2019,72.81,MALUKU UTARA
2019,69.47,PAPUA BARAT
2019,35.55,PAPUA
2019,76.07,INDONESIA
